LED42	KSW1	180
LED43	KSW2	180
LED44	KSW3	180
LED45	KSW4	180
LED46	KSW5	180
LED47	KSW6	180
LED48	KSW7	180
LED49	KSW8	180
LED50	KSW9	180
LED51	KSW10	180
LED52	KSW11	180
LED53	KSW12	180
LED54	KSW13	180
LED55	KSW14	180
LED56	KSW15	180

LED41	KSW16	0
LED40	KSW17	0
LED39	KSW18	0
LED38	KSW19	0
LED37	KSW20	0
LED36	KSW21	0
LED35	KSW22	0
LED34	KSW23	0
LED33	KSW24	0
LED32	KSW25	0
LED31	KSW26	0
LED30	KSW27	0
LED29	KSW28	0
LED28	KSW29	0

LED15	KSW30	180
LED16	KSW31	180
LED17	KSW32	180
LED18	KSW33	180
LED19	KSW34	180
LED20	KSW35	180
LED21	KSW36	180
LED22	KSW37	180
LED23	KSW38	180
LED24	KSW39	180
LED25	KSW40	180
LED26	KSW41	180
LED27	KSW42	180

LED14	KSW43	0
LED13	KSW44	0
LED12	KSW45	0
LED11	KSW46	0
LED10	KSW47	0
LED9	KSW48	0
LED8	KSW49	0
LED7	KSW50	0
LED6	KSW51	0
LED5	KSW52	0
LED4	KSW53	0
LED3	KSW54	0
LED2	KSW55	0

LED1	KSW60	180
